src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
169.254.230.168,224.0.0.252,52121,5355,00:50:56:c0:00:03,01:00:5e:00:00:fc,17,2025-05-31 11:14:37,0.0,0,0,0,0,1,0,69,0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,69,69,69.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0,1,0,69,0,Benign
192.168.50.1,224.0.0.252,52121,5355,00:50:56:c0:00:04,01:00:5e:00:00:fc,17,2025-05-31 11:14:37,0.0,0,0,0,0,1,0,69,0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,69,69,69.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0,1,0,69,0,Benign
169.254.230.168,224.0.0.252,62724,5355,00:50:56:c0:00:03,01:00:5e:00:00:fc,17,2025-05-31 11:14:42,0.0,0,0,0,0,1,0,69,0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,69,69,69.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0,1,0,69,0,Benign
192.168.50.1,224.0.0.252,62724,5355,00:50:56:c0:00:04,01:00:5e:00:00:fc,17,2025-05-31 11:14:42,0.0,0,0,0,0,1,0,69,0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,69,69,69.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0,1,0,69,0,Benign
10.81.50.100,192.168.50.200,49308,80,00:0c:29:61:2d:56,00:0c:29:fd:57:16,6,2025-05-31 11:14:44,641081.8099975586,29628.043884246745,42.116309617493,18.718359829996892,23.397949787496113,12,15,908,18086,174.0,66.0,75.66666666666667,29.73026890037978,1514.0,66.0,1205.7333333333333,572.9762609005329,1514,66,703.4814814814815,705.7647478350659,498103.8792866942,240,300,20,1,24656.992692213793,264112.2341156006,0.0,62022.68405528847,636458.3969116211,269620.1801300049,0.0,57859.854264692825,86776.40628156788,640275.9552001953,264112.2341156006,65.80352783203125,45733.99680001395,84745.48660850928,0,0,0,0,1,0,0,0,0,0,0,1.25,703.4814814814815,32120,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17088.0,12.0,0.0,558460.5361737274,75.66666666666667,1205.7333333333333,0,12,15,908,18086,Brute Force
10.81.50.100,192.168.50.200,49312,80,00:0c:29:61:2d:56,00:0c:29:fd:57:16,6,2025-05-31 11:14:44,640598.2971191406,37293.26179516343,48.392261015071846,18.73248813486652,29.659772880205324,12,19,908,22982,174.0,66.0,75.66666666666667,29.73026890037978,1514.0,66.0,1209.578947368421,589.5109762639997,1514,66,770.6451612903226,719.9929008784021,518389.7773152965,240,380,20,1,21353.27657063802,262981.1763763428,0.0,57258.674535877755,636172.0561981201,268903.2554626465,0.0,57833.82329073819,84975.72961496137,638545.7515716553,262981.1763763428,52.45208740234375,35474.763976203074,75686.94724814441,0,0,0,0,1,0,0,0,0,0,0,1.5833333333333333,770.6451612903226,32120,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21720.0,15.0,0.0,540394.7234860393,75.66666666666667,1209.578947368421,0,12,19,908,22982,Brute Force
10.81.50.100,192.168.50.200,49322,80,00:0c:29:61:2d:56,00:0c:29:fd:57:16,6,2025-05-31 11:14:44,672256.9465637207,34207.15861330307,44.62579398152253,17.850317592609013,26.775476388913518,12,18,908,22088,174.0,66.0,75.66666666666667,29.73026890037978,1514.0,66.0,1227.111111111111,551.3164939879904,1514,66,766.5333333333333,707.7579498356453,500921.3155555557,240,360,20,1,23181.274019438646,300219.5358276367,0.2384185791015625,64915.687055946786,670862.9131317139,314554.45289611816,0.2384185791015625,60987.537557428535,97963.36911125408,671429.8725128174,300219.5358276367,16.927719116210938,39495.87485369514,85743.49351142108,0,0,0,0,1,0,0,0,0,0,0,1.5,766.5333333333333,32120,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20892.0,15.0,0.0,944922.6200248018,75.66666666666667,1227.111111111111,0,12,18,908,22088,Brute Force
10.81.50.100,192.168.50.200,49336,80,00:0c:29:61:2d:56,00:0c:29:fd:57:16,6,2025-05-31 11:14:44,636681.7951202393,25218.24893229086,34.554152747284434,14.135789760252722,20.41836298703171,9,13,710,15346,174.0,66.0,78.88888888888889,33.719247534916725,1514.0,66.0,1180.4615384615386,608.9578254165839,1514,66,729.8181818181819,716.1904036042902,512928.694214876,180,260,20,1,30318.180720011394,264790.0581359863,53.882598876953125,66418.07084293099,632395.0290679932,269619.9417114258,2146.7208862304688,79049.37863349915,90508.5573509605,635745.5253601074,264790.0581359863,53.882598876953125,52978.79378000895,87646.31464890794,0,0,0,0,1,0,0,0,0,0,0,1.4444444444444444,729.8181818181819,32120,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14480.0,10.0,0.0,363369.16309680504,78.88888888888889,1180.4615384615386,0,9,13,710,15346,Brute Force
10.81.50.100,192.168.50.200,49346,80,00:0c:29:61:2d:56,00:0c:29:fd:57:16,6,2025-05-31 11:14:44,655054.5692443848,19989.174360090525,32.05839785870636,15.265903742241123,16.792494116465235,10,11,776,12318,174.0,66.0,77.6,32.221731797034124,1514.0,66.0,1119.8181818181818,643.6992265141198,1514,66,623.5238095238095,698.9085108767554,488473.10657596367,200,220,20,1,32752.72846221924,288592.1001434326,28.848648071289062,73316.37888511807,652008.2950592041,290702.58140563965,349.99847412109375,72445.36611768935,96061.29496655802,654566.5264129639,295016.7655944824,28.848648071289062,65456.65264129639,101874.77501927798,0,0,0,0,1,0,0,0,0,0,0,1.1,623.5238095238095,32120,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11584.0,8.0,0.0,752992.135389384,77.6,1119.8181818181818,0,10,11,776,12318,Brute Force
10.81.50.100,192.168.50.200,49360,80,00:0c:29:61:2d:56,00:0c:29:fd:57:16,6,2025-05-31 11:14:44,640731.3346862793,22489.92552714088,29.653614504904702,10.925015870228048,18.728598634676654,7,12,578,13832,174.0,66.0,82.57142857142857,37.42748090014357,1514.0,66.0,1152.6666666666667,625.8505323868382,1514,66,758.421052631579,717.18149474097,514349.296398892,140,240,20,1,35596.18526034885,275847.1965789795,52.69050598144531,76656.50037361054,637611.6275787354,279115.4384613037,1924.0379333496094,106268.60459645589,102741.93105323585,639838.457107544,275847.1965789795,52.69050598144531,58167.132464322174,92257.87207186977,0,0,0,0,1,0,0,0,0,0,0,1.7142857142857142,758.421052631579,32120,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13032.0,9.0,0.0,369275.569031212,82.57142857142857,1152.6666666666667,0,7,12,578,13832,Brute Force
